Time,TRACENO,FFID,CHAN,SOU_X,SOU_Y,FRONT_X,FRONT_Y,TAIL_X,TAIL_Y,Feathering
09:25:50.091,232,1552460,16,235067.20978,3781345.07162,235089.694,3781353.8062,235039.6209,3781371.3262,19.88435284036632
09:25:50.381,232,1552460,16,235067.20978,3781345.07162,235089.694,3781353.8062,235040.9424,3781371.5445,20.593948187562034
09:25:50.658,241,1552461,1,235068.20442,3781344.97432,235089.694,3781353.8062,235041.8072,3781371.5766,20.959478299688215
09:25:50.859,241,1552461,1,235068.20442,3781344.97432,235089.694,3781353.8062,235041.8072,3781371.5766,20.959478299688215
09:25:51.143,280,1552462,16,235069.18316,3781344.87857,235089.694,3781353.8062,235042.7015,3781371.6722,21.416219289823687
09:25:51.382,280,1552462,16,235069.18316,3781344.87857,235091.7348,3781353.6423,235042.7015,3781371.6722,20.78884111425566
09:25:51.659,289,1552463,1,235070.1707,3781344.78197,235091.7348,3781353.6423,235043.82,3781371.9071,21.466510582163494
09:25:51.859,289,1552463,1,235070.1707,3781344.78197,235093.852,3781353.6722,235043.82,3781371.9071,20.62501490193449
09:25:52.182,328,1552464,16,235071.17389,3781344.68383,235093.852,3781353.6722,235044.8191,3781371.9265,21.0196330887199
09:25:52.381,328,1552464,16,235071.17389,3781344.68383,235093.852,3781353.6722,235044.8191,3781371.9265,21.0196330887199
09:25:52.659,337,1552465,1,235072.19498,3781344.58394,235093.852,3781353.6722,235045.5987,3781371.8537,21.246052018388866
09:25:52.945,337,1552465,1,235072.19498,3781344.58394,235093.852,3781353.6722,235045.5987,3781371.8537,21.246052018388866
09:25:53.181,376,1552466,16,235073.23053,3781344.48263,235096.213,3781353.4359,235046.6968,3781371.8026,20.95097829083454
09:25:53.458,376,1552466,16,235073.23053,3781344.48263,235096.213,3781353.4359,235046.6968,3781371.8026,20.95097829083454
09:25:53.659,385,1552467,1,235074.26765,3781344.38118,235097.3755,3781353.5312,235047.9487,3781371.819,20.904355434134402
