Time,TRACENO,FFID,CHAN,SOU_X,SOU_Y,FRONT_X,FRONT_Y,TAIL_X,TAIL_Y,Feathering
09:25:46.003,1.0,1552451.0,1.0,235057.99678,3781345.97289,235081.9461,3781354.2731,235032.724,3781371.8461,0.647297876226844
09:25:46.345,1.0,1552451.0,1.0,235057.99678,3781345.97289,235083.0402,3781354.2417,235033.0834,3781371.8697,0.43614725136598054
09:25:46.582,49.0,1552453.0,1.0,235060.15533,3781345.76173,235083.0402,3781354.2417,235033.0834,3781371.8697,0.43614725136598054
09:25:46.858,49.0,1552453.0,1.0,235060.15533,3781345.76173,235083.0402,3781354.2417,235033.8449,3781371.8558,0.6996205649970193
09:25:47.040,49.0,1552453.0,1.0,235060.15533,3781345.76173,235083.7659,3781354.0884,235033.8449,3781371.8558,0.5911699735948446
09:25:47.343,49.0,1552453.0,1.0,235060.15533,3781345.76173,235083.7659,3781354.0884,235035.2011,3781371.7985,1.0353689214838369
09:25:47.581,97.0,1552455.0,1.0,235062.19157,3781345.56253,235083.7659,3781354.0884,235036.0472,3781371.5625,1.1122140073110813
09:25:47.858,97.0,1552455.0,1.0,235062.19157,3781345.56253,235085.5046,3781353.9053,235036.0472,3781371.5625,0.6474977327845863
09:25:48.028,97.0,1552455.0,1.0,235062.19157,3781345.56253,235086.5996,3781353.4096,235036.0472,3781371.5625,0.7527446231011936
09:25:48.381,97.0,1552455.0,1.0,235062.19157,3781345.56253,235086.5996,3781353.4096,235036.9446,3781371.4054,0.9213608699442375
09:25:48.581,145.0,1552457.0,1.0,235064.19666,3781345.36638,235086.5996,3781353.4096,235037.6028,3781371.4252,1.1879359756740087
09:25:48.858,145.0,1552457.0,1.0,235064.19666,3781345.36638,235086.5996,3781353.4096,235037.6028,3781371.4252,1.1879359756740087
09:25:49.143,145.0,1552457.0,1.0,235064.19666,3781345.36638,235087.2208,3781353.3296,235037.6028,3781371.4252,1.0368264783151062
09:25:49.381,145.0,1552457.0,1.0,235064.19666,3781345.36638,235088.8963,3781353.7783,235038.355,3781371.3078,0.1283442464791733
09:25:49.600,193.0,1552459.0,1.0,235066.20474,3781345.16994,235088.8963,3781353.7783,235038.355,3781371.3078,0.1283442464791733
09:25:49.859,193.0,1552459.0,1.0,235066.20474,3781345.16994,235089.694,3781353.8062,235039.6209,3781371.3262,0.2843528403662958
09:25:50.091,193.0,1552459.0,1.0,235066.20474,3781345.16994,235089.694,3781353.8062,235039.6209,3781371.3262,0.2843528403662958
09:25:50.381,193.0,1552459.0,1.0,235066.20474,3781345.16994,235089.694,3781353.8062,235040.9424,3781371.5445,0.9939481875620118
09:25:50.658,241.0,1552461.0,1.0,235068.20442,3781344.97432,235089.694,3781353.8062,235041.8072,3781371.5766,1.3594782996881918
09:25:50.859,241.0,1552461.0,1.0,235068.20442,3781344.97432,235089.694,3781353.8062,235041.8072,3781371.5766,1.3594782996881918
09:25:51.143,241.0,1552461.0,1.0,235068.20442,3781344.97432,235089.694,3781353.8062,235042.7015,3781371.6722,1.816219289823664
09:25:51.382,241.0,1552461.0,1.0,235068.20442,3781344.97432,235091.7348,3781353.6423,235042.7015,3781371.6722,1.1888411142556379
09:25:51.659,289.0,1552463.0,1.0,235070.1707,3781344.78197,235091.7348,3781353.6423,235043.82,3781371.9071,1.866510582163471
09:25:51.859,289.0,1552463.0,1.0,235070.1707,3781344.78197,235093.852,3781353.6722,235043.82,3781371.9071,1.025014901934469
09:25:52.182,289.0,1552463.0,1.0,235070.1707,3781344.78197,235093.852,3781353.6722,235044.8191,3781371.9265,1.419633088719877
09:25:52.381,289.0,1552463.0,1.0,235070.1707,3781344.78197,235093.852,3781353.6722,235044.8191,3781371.9265,1.419633088719877
09:25:52.659,337.0,1552465.0,1.0,235072.19498,3781344.58394,235093.852,3781353.6722,235045.5987,3781371.8537,1.6460520183888434
09:25:52.945,337.0,1552465.0,1.0,235072.19498,3781344.58394,235093.852,3781353.6722,235045.5987,3781371.8537,1.6460520183888434
09:25:53.181,337.0,1552465.0,1.0,235072.19498,3781344.58394,235096.213,3781353.4359,235046.6968,3781371.8026,1.3509782908345187
09:25:53.458,337.0,1552465.0,1.0,235072.19498,3781344.58394,235096.213,3781353.4359,235046.6968,3781371.8026,1.3509782908345187
09:25:53.659,385.0,1552467.0,1.0,235074.26765,3781344.38118,235097.3755,3781353.5312,235047.9487,3781371.819,1.3043554341343793
09:25:53.946,385.0,1552467.0,1.0,235074.26765,3781344.38118,235097.3755,3781353.5312,235047.9487,3781371.819,1.3043554341343793
09:25:54.181,385.0,1552467.0,1.0,235074.26765,3781344.38118,235098.5054,3781353.5362,235048.7277,3781371.6457,0.9917656797542236
09:25:54.459,385.0,1552467.0,1.0,235074.26765,3781344.38118,235098.5054,3781353.5362,235048.7277,3781371.6457,0.9917656797542236
09:25:54.612,433.0,1552469.0,1.0,235076.2812,3781344.1842,235099.3123,3781353.3926,235049.7763,3781371.3325,0.9083017105878071
09:25:54.981,433.0,1552469.0,1.0,235076.2812,3781344.1842,235099.3123,3781353.3926,235050.6442,3781371.1898,1.0867141322795533
09:25:55.183,433.0,1552469.0,1.0,235076.2812,3781344.1842,235099.3123,3781353.3926,235050.6442,3781371.1898,1.0867141322795533
09:25:55.458,433.0,1552469.0,1.0,235076.2812,3781344.1842,235099.3123,3781353.3926,235050.6442,3781371.1898,1.0867141322795533
09:25:55.747,481.0,1552471.0,1.0,235078.19762,3781343.99672,235100.3982,3781353.2455,235051.1697,3781371.2105,1.0485875442441284
09:25:55.980,481.0,1552471.0,1.0,235078.19762,3781343.99672,235100.3982,3781353.2455,235052.444,3781371.0425,1.3611464029094122
09:25:56.259,481.0,1552471.0,1.0,235078.19762,3781343.99672,235102.383,3781353.0904,235052.444,3781371.0425,0.7725251816464151
09:25:56.459,481.0,1552471.0,1.0,235078.19762,3781343.99672,235102.383,3781353.0904,235053.2969,3781370.9578,1.0015673655263981
09:25:56.744,529.0,1552473.0,1.0,235080.25322,3781343.79563,235103.261,3781353.049,235053.2969,3781370.9578,0.7193730615470031
09:25:56.982,529.0,1552473.0,1.0,235080.25322,3781343.79563,235103.261,3781353.049,235053.2969,3781370.9578,0.7193730615470031
09:25:57.259,529.0,1552473.0,1.0,235080.25322,3781343.79563,235103.261,3781353.049,235054.4034,3781370.9481,1.1204306097730523
09:25:57.459,529.0,1552473.0,1.0,235080.25322,3781343.79563,235104.4351,3781352.9743,235054.4034,3781370.9481,0.7607361417256016
09:25:57.783,577.0,1552475.0,1.0,235082.39273,3781343.58633,235105.688,3781352.9266,235055.6299,3781370.9557,0.8071684935204075
09:25:57.985,577.0,1552475.0,1.0,235082.39273,3781343.58633,235105.688,3781352.9266,235055.6299,3781370.9557,0.8071684935204075
09:25:58.259,577.0,1552475.0,1.0,235082.39273,3781343.58633,235105.688,3781352.9266,235056.5908,3781371.0378,1.2482400509043146
09:25:58.544,625.0,1552477.0,1.0,235084.38664,3781343.39128,235106.4274,3781352.8969,235056.5908,3781371.0378,1.001889262836528
09:25:58.781,625.0,1552477.0,1.0,235084.38664,3781343.39128,235106.4274,3781352.8969,235057.4314,3781371.0626,1.3427070128968808
09:25:58.982,625.0,1552477.0,1.0,235084.38664,3781343.39128,235106.4274,3781352.8969,235057.4314,3781371.0626,1.3427070128968808
09:25:59.259,625.0,1552477.0,1.0,235084.38664,3781343.39128,235107.8274,3781353.1671,235058.5544,3781371.0278,0.9247969808624248
09:25:59.544,673.0,1552479.0,1.0,235086.34545,3781343.19965,235109.2258,3781353.4817,235058.5544,3781371.0278,0.09955023237273508
09:25:59.781,673.0,1552479.0,1.0,235086.34545,3781343.19965,235109.2258,3781353.4817,235059.5303,3781370.8009,0.21377310681452855
09:26:00.059,673.0,1552479.0,1.0,235086.34545,3781343.19965,235109.2258,3781353.4817,235059.5303,3781370.8009,0.21377310681452855
09:26:00.259,673.0,1552479.0,1.0,235086.34545,3781343.19965,235110.4759,3781353.2636,235059.5303,3781370.8009,-0.004702429769338323
09:26:00.581,721.0,1552481.0,1.0,235088.417,3781342.997,235110.4759,3781353.2636,235061.0567,3781370.6208,0.35248961187295436
09:26:00.781,721.0,1552481.0,1.0,235088.417,3781342.997,235110.4759,3781353.2636,235061.7756,3781370.6462,0.6430091344657285
09:26:01.059,721.0,1552481.0,1.0,235088.417,3781342.997,235110.4759,3781353.2636,235061.7756,3781370.6462,0.6430091344657285
09:26:01.345,721.0,1552481.0,1.0,235088.417,3781342.997,235112.0712,3781353.1249,235062.8218,3781370.468,0.3996361587993533
09:26:01.582,769.0,1552483.0,1.0,235090.44035,3781342.79906,235112.0712,3781353.1249,235062.8218,3781370.468,0.3996361587993533
09:26:01.782,769.0,1552483.0,1.0,235090.44035,3781342.79906,235112.0712,3781353.1249,235062.8218,3781370.468,0.3996361587993533
09:26:02.059,769.0,1552483.0,1.0,235090.44035,3781342.79906,235113.6468,3781352.8222,235063.7843,3781370.5082,0.5293624396958876
09:26:02.344,769.0,1552483.0,1.0,235090.44035,3781342.79906,235113.6468,3781352.8222,235063.7843,3781370.5082,0.5293624396958876
09:26:02.554,817.0,1552485.0,1.0,235092.40197,3781342.60717,235115.2234,3781352.8241,235064.9828,3781370.5274,0.4109487102082312
09:26:02.858,817.0,1552485.0,1.0,235092.40197,3781342.60717,235115.2234,3781352.8241,235066.0117,3781370.1335,0.3784778002126927
09:26:03.000,817.0,1552485.0,1.0,235092.40197,3781342.60717,235116.261,3781352.9718,235066.0117,3781370.1335,-0.14336685473614352
09:26:03.344,817.0,1552485.0,1.0,235092.40197,3781342.60717,235116.261,3781352.9718,235066.0117,3781370.1335,-0.14336685473614352
09:26:03.581,865.0,1552487.0,1.0,235094.38268,3781342.4134,235116.261,3781352.9718,235067.0129,3781369.9906,0.06375344259464555
09:26:03.859,865.0,1552487.0,1.0,235094.38268,3781342.4134,235117.5032,3781353.1307,235068.1442,3781370.1908,0.06683936953464809
09:26:04.013,865.0,1552487.0,1.0,235094.38268,3781342.4134,235118.7506,3781353.0184,235068.1442,3781370.1908,-0.2562518597907797
09:26:04.382,865.0,1552487.0,1.0,235094.38268,3781342.4134,235118.7506,3781353.0184,235068.8765,3781370.2057,0.01465476778980701
09:26:04.582,913.0,1552489.0,1.0,235096.41839,3781342.21426,235118.7506,3781353.0184,235068.8765,3781370.2057,0.01465476778980701
09:26:04.859,913.0,1552489.0,1.0,235096.41839,3781342.21426,235118.7506,3781353.0184,235069.5568,3781370.1708,0.22212854996507758
09:26:05.147,913.0,1552489.0,1.0,235096.41839,3781342.21426,235119.4918,3781353.0275,235069.5568,3781370.1708,-0.05202306133190859
09:26:05.381,913.0,1552489.0,1.0,235096.41839,3781342.21426,235119.4918,3781353.0275,235070.3068,3781370.2376,0.28522041898872885
09:26:05.584,961.0,1552491.0,1.0,235098.4258,3781342.01788,235120.7644,3781353.0786,235071.4818,3781370.2228,0.18152413640382292
09:26:05.859,961.0,1552491.0,1.0,235098.4258,3781342.01788,235122.3183,3781353.4667,235071.4818,3781370.2228,-0.7573840530861844
09:26:06.144,961.0,1552491.0,1.0,235098.4258,3781342.01788,235122.3183,3781353.4667,235071.4818,3781370.2228,-0.7573840530861844
09:26:06.382,961.0,1552491.0,1.0,235098.4258,3781342.01788,235123.2104,3781353.5279,235072.38,3781370.0852,-0.9576966100468098
09:26:06.659,1033.0,1552494.0,1.0,235101.45539,3781341.72151,235123.2104,3781353.5279,235072.38,3781370.0852,-0.9576966100468098
09:26:06.859,1033.0,1552494.0,1.0,235101.45539,3781341.72151,235123.2104,3781353.5279,235073.4499,3781370.0321,-0.6507257146355983
09:26:07.145,1033.0,1552494.0,1.0,235101.45539,3781341.72151,235124.2494,3781353.4621,235073.4499,3781370.0321,-0.9344862298784165
09:26:07.382,1033.0,1552494.0,1.0,235101.45539,3781341.72151,235124.2494,3781353.4621,235074.7318,3781369.9531,-0.5805342895430954
09:26:07.659,1081.0,1552496.0,1.0,235103.4193,3781341.52939,235125.4819,3781353.2655,235075.5712,3781369.8021,-0.668740453990381
09:26:07.858,1081.0,1552496.0,1.0,235103.4193,3781341.52939,235126.2757,3781353.3111,235075.5712,3781369.8021,-0.983536435462554
09:26:08.182,1081.0,1552496.0,1.0,235103.4193,3781341.52939,235126.2757,3781353.3111,235076.4095,3781369.6523,-0.8559820380231713
09:26:08.382,1081.0,1552496.0,1.0,235103.4193,3781341.52939,235126.2757,3781353.3111,235076.4095,3781369.6523,-0.8559820380231713
09:26:08.658,1129.0,1552498.0,1.0,235105.43238,3781341.33245,235127.6306,3781353.2078,235077.4942,3781369.5365,-0.960319976861058
09:26:08.865,1129.0,1552498.0,1.0,235105.43238,3781341.33245,235127.6306,3781353.2078,235077.4942,3781369.5365,-0.960319976861058
09:26:09.181,1129.0,1552498.0,1.0,235105.43238,3781341.33245,235128.8637,3781353.043,235078.3936,3781369.4044,-1.0383396682635748
09:26:09.421,1129.0,1552498.0,1.0,235105.43238,3781341.33245,235128.8637,3781353.043,235078.3936,3781369.4044,-1.0383396682635748
09:26:09.659,1177.0,1552500.0,1.0,235107.48578,3781341.13158,235129.7647,3781353.0437,235079.3473,3781369.4149,-1.0106973746210883
09:26:09.897,1177.0,1552500.0,1.0,235107.48578,3781341.13158,235129.7647,3781353.0437,235079.3473,3781369.4149,-1.0106973746210883
09:26:10.181,1177.0,1552500.0,1.0,235107.48578,3781341.13158,235129.7647,3781353.0437,235080.4946,3781369.4077,-0.6272069122797461
09:26:10.408,1177.0,1552500.0,1.0,235107.48578,3781341.13158,235130.9152,3781352.988,235080.4946,3781369.4077,-0.961922528890625
09:26:10.659,1225.0,1552502.0,1.0,235109.4493,3781340.93949,235132.1455,3781353.1393,235081.4156,3781369.4058,-1.2215953220113533
09:26:10.981,1225.0,1552502.0,1.0,235109.4493,3781340.93949,235132.1455,3781353.1393,235081.4156,3781369.4058,-1.2215953220113533
09:26:11.182,1225.0,1552502.0,1.0,235109.4493,3781340.93949,235132.1455,3781353.1393,235082.3714,3781369.4948,-0.809756545358141
09:26:11.459,1225.0,1552502.0,1.0,235109.4493,3781340.93949,235133.25,3781353.2866,235082.3714,3781369.4948,-1.3298815304195273
09:26:11.744,1273.0,1552504.0,1.0,235111.41502,3781340.7472,235133.25,3781353.2866,235083.4927,3781369.4223,-1.0327385344066897
09:26:11.983,1273.0,1552504.0,1.0,235111.41502,3781340.7472,235133.25,3781353.2866,235084.482,3781369.1182,-1.0149677106941795
09:26:12.259,1273.0,1552504.0,1.0,235111.41502,3781340.7472,235134.6008,3781353.077,235084.482,3781369.1182,-1.2520265975102234
09:26:12.459,1273.0,1552504.0,1.0,235111.41502,3781340.7472,235134.6008,3781353.077,235084.482,3781369.1182,-1.2520265975102234
09:26:12.747,1321.0,1552506.0,1.0,235113.49786,3781340.54344,235136.2521,3781353.4346,235085.4997,3781368.9459,-2.005436741877645
09:26:12.982,1321.0,1552506.0,1.0,235113.49786,3781340.54344,235136.2521,3781353.4346,235085.4997,3781368.9459,-2.005436741877645
09:26:13.259,1321.0,1552506.0,1.0,235113.49786,3781340.54344,235137.0511,3781353.5524,235086.5409,3781368.9221,-2.07556992031067
09:26:13.459,1321.0,1552506.0,1.0,235113.49786,3781340.54344,235137.0511,3781353.5524,235087.0765,3781369.0333,-1.7883067195595572
09:26:13.781,1369.0,1552508.0,1.0,235115.49899,3781340.34768,235137.9219,3781353.4692,235087.0765,3781369.0333,-1.980317565684743
09:26:13.982,1369.0,1552508.0,1.0,235115.49899,3781340.34768,235137.9219,3781353.4692,235087.7319,3781369.0842,-1.7181546840659507
09:26:14.234,1369.0,1552508.0,1.0,235115.49899,3781340.34768,235137.9219,3781353.4692,235087.7319,3781369.0842,-1.7181546840659507
09:26:14.544,1417.0,1552510.0,1.0,235117.41647,3781340.1601,235139.5561,3781353.4994,235089.1825,3781368.8433,-2.0591586537858575
09:26:14.781,1417.0,1552510.0,1.0,235117.41647,3781340.1601,235140.419,3781353.6822,235089.1825,3781368.8433,-2.51628860235337
09:26:14.982,1417.0,1552510.0,1.0,235117.41647,3781340.1601,235140.419,3781353.6822,235090.5102,3781368.7737,-2.1756522640358753
09:26:15.259,1417.0,1552510.0,1.0,235117.41647,3781340.1601,235140.419,3781353.6822,235090.5102,3781368.7737,-2.1756522640358753
09:26:15.544,1465.0,1552512.0,1.0,235119.40922,3781339.97048,235140.419,3781353.6822,235090.5102,3781368.7737,-2.1756522640358753
09:26:15.782,1465.0,1552512.0,1.0,235119.40922,3781339.97048,235140.419,3781353.6822,235091.5063,3781368.7533,-1.8747609310847793
09:26:16.059,1465.0,1552512.0,1.0,235119.40922,3781339.97048,235141.3167,3781353.7759,235093.0695,3781368.8038,-1.6993823019498109
09:26:16.259,1465.0,1552512.0,1.0,235119.40922,3781339.97048,235143.854,3781353.5311,235093.0695,3781368.8038,-2.262104155566476
09:26:16.582,1513.0,1552514.0,1.0,235121.83152,3781340.02777,235143.854,3781353.5311,235093.5493,3781368.7799,-2.136436041601314
09:26:16.782,1513.0,1552514.0,1.0,235121.83152,3781340.02777,235143.854,3781353.5311,235093.5493,3781368.7799,-2.136436041601314
09:26:17.059,1513.0,1552514.0,1.0,235121.83152,3781340.02777,235144.7216,3781353.4513,235093.9789,3781368.6649,-2.310296985066259
09:26:17.344,1513.0,1552514.0,1.0,235121.83152,3781340.02777,235144.7216,3781353.4513,235093.9789,3781368.6649,-2.310296985066259
09:26:17.568,1561.0,1552516.0,1.0,235123.72673,3781340.12424,235145.9608,3781353.7136,235095.3671,3781368.4863,-2.722884732801276
09:26:17.781,1561.0,1552516.0,1.0,235123.72673,3781340.12424,235145.9608,3781353.7136,235096.303,3781368.3821,-2.5432990152220896
09:26:18.031,1561.0,1552516.0,1.0,235123.72673,3781340.12424,235147.2321,3781353.5388,235096.303,3781368.3821,-2.751222464483078
09:26:18.345,1561.0,1552516.0,1.0,235123.72673,3781340.12424,235147.9551,3781353.5473,235096.303,3781368.3821,-2.975609686203825
09:26:18.581,1609.0,1552518.0,1.0,235125.6961,3781340.16441,235147.9551,3781353.5473,235097.1033,3781368.2428,-2.8814030436934672
09:26:18.859,1609.0,1552518.0,1.0,235125.6961,3781340.16441,235147.9551,3781353.5473,235097.1033,3781368.2428,-2.8814030436934672
09:26:19.001,1609.0,1552518.0,1.0,235125.6961,3781340.16441,235148.797,3781353.6054,235098.4533,3781368.1705,-2.8641425160529934
09:26:19.382,1609.0,1552518.0,1.0,235125.6961,3781340.16441,235150.0427,3781353.7469,235099.216,3781368.2787,-3.044301740374749
09:26:19.582,1657.0,1552520.0,1.0,235127.7939,3781340.20918,235150.0427,3781353.7469,235099.216,3781368.2787,-3.044301740374749
09:26:19.859,1657.0,1552520.0,1.0,235127.7939,3781340.20918,235150.0427,3781353.7469,235099.216,3781368.2787,-3.044301740374749
09:26:20.144,1657.0,1552520.0,1.0,235127.7939,3781340.20918,235151.7259,3781354.0645,235099.216,3781368.2787,-3.853283319118532
09:26:20.382,1657.0,1552520.0,1.0,235127.7939,3781340.20918,235151.7259,3781354.0645,235100.0977,3781368.1586,-3.7307496665829376
09:26:20.583,1705.0,1552522.0,1.0,235129.8303,3781340.24578,235151.7259,3781354.0645,235100.0977,3781368.1586,-3.7307496665829376
09:26:20.859,1705.0,1552522.0,1.0,235129.8303,3781340.24578,235151.7259,3781354.0645,235102.4968,3781368.0872,-3.1006222515023865
09:26:21.144,1705.0,1552522.0,1.0,235129.8303,3781340.24578,235152.4769,3781354.155,235102.4968,3781368.0872,-3.423925152407776
09:26:21.382,1705.0,1552522.0,1.0,235129.8303,3781340.24578,235152.4769,3781354.155,235103.3394,3781368.1373,-3.1160550597067527
09:26:21.658,1753.0,1552524.0,1.0,235131.8348,3781340.29251,235154.5376,3781353.9328,235103.3394,3781368.1373,-3.4937832891983476
09:26:21.859,1753.0,1552524.0,1.0,235131.8348,3781340.29251,235155.3825,3781353.8752,235103.3394,3781368.1373,-3.674684130109938
09:26:22.143,1753.0,1552524.0,1.0,235131.8348,3781340.29251,235155.3825,3781353.8752,235103.3394,3781368.1373,-3.674684130109938
09:26:22.381,1753.0,1552524.0,1.0,235131.8348,3781340.29251,235155.3825,3781353.8752,235103.3394,3781368.1373,-3.674684130109938
09:26:22.658,1825.0,1552527.0,1.0,235134.79759,3781340.36671,235156.2979,3781353.9197,235105.6236,3781367.9308,-3.5442395612363953
09:26:22.858,1825.0,1552527.0,1.0,235134.79759,3781340.36671,235156.2979,3781353.9197,235105.6236,3781367.9308,-3.5442395612363953
09:26:23.181,1825.0,1552527.0,1.0,235134.79759,3781340.36671,235158.1232,3781353.9027,235107.5759,3781367.8777,-3.545277160044293
09:26:23.353,1825.0,1552527.0,1.0,235134.79759,3781340.36671,235158.1232,3781353.9027,235107.5759,3781367.8777,-3.545277160044293
09:26:23.658,1873.0,1552529.0,1.0,235136.78135,3781340.39873,235159.0325,3781353.7807,235107.5759,3781367.8777,-3.6792135229079577
09:26:23.944,1873.0,1552529.0,1.0,235136.78135,3781340.39873,235159.0325,3781353.7807,235108.2849,3781368.0879,-3.2553375385411982
09:26:24.182,1873.0,1552529.0,1.0,235136.78135,3781340.39873,235159.8183,3781353.8108,235108.2849,3781368.0879,-3.5148437634907737
09:26:24.459,1873.0,1552529.0,1.0,235136.78135,3781340.39873,235159.8183,3781353.8108,235109.3799,3781368.1563,-3.123387253326598
09:26:24.658,1921.0,1552531.0,1.0,235138.77482,3781340.42878,235161.1321,3781354.1191,235109.3799,3781368.1563,-3.8242950032793033
09:26:24.944,1921.0,1552531.0,1.0,235138.77482,3781340.42878,235161.9971,3781354.1363,235110.8165,3781367.8917,-3.9565584561751734
09:26:25.177,1921.0,1552531.0,1.0,235138.77482,3781340.42878,235161.9971,3781354.1363,235110.8165,3781367.8917,-3.9565584561751734
09:26:25.459,1921.0,1552531.0,1.0,235138.77482,3781340.42878,235161.9971,3781354.1363,235112.0261,3781367.9507,-3.5466280030929056
09:26:25.608,1969.0,1552533.0,1.0,235140.73404,3781340.48982,235163.2196,3781354.1352,235112.0261,3781367.9507,-3.8974611868535476
09:26:25.981,1969.0,1552533.0,1.0,235140.73404,3781340.48982,235163.2196,3781354.1352,235112.0261,3781367.9507,-3.8974611868535476
09:26:26.181,1969.0,1552533.0,1.0,235140.73404,3781340.48982,235164.7425,3781354.475,235112.0261,3781367.9507,-4.660758024452548
09:26:26.459,1969.0,1552533.0,1.0,235140.73404,3781340.48982,235164.7425,3781354.475,235113.3123,3781367.8844,-4.386609128782425
09:26:26.744,2017.0,1552535.0,1.0,235142.80135,3781340.57947,235165.5191,3781354.653,235113.3123,3781367.8844,-4.778291693265999
09:26:26.981,2017.0,1552535.0,1.0,235142.80135,3781340.57947,235165.5191,3781354.653,235115.2763,3781368.1121,-4.003636434928865
09:26:27.181,2017.0,1552535.0,1.0,235142.80135,3781340.57947,235166.37,3781354.4597,235115.2763,3781368.1121,-4.0398866108131415
09:26:27.458,2017.0,1552535.0,1.0,235142.80135,3781340.57947,235167.5043,3781354.2266,235116.314,3781367.874,-4.072080018099086
09:26:27.744,2065.0,1552537.0,1.0,235144.76083,3781340.6429,235167.5043,3781354.2266,235116.314,3781367.874,-4.072080018099086
09:26:27.981,2065.0,1552537.0,1.0,235144.76083,3781340.6429,235168.3971,3781354.3157,235117.1882,3781367.6819,-4.371419786203887
09:26:28.258,2065.0,1552537.0,1.0,235144.76083,3781340.6429,235168.3971,3781354.3157,235117.1882,3781367.6819,-4.371419786203887
09:26:28.458,2065.0,1552537.0,1.0,235144.76083,3781340.6429,235169.2124,3781354.3919,235117.8086,3781367.7799,-4.401760879907556
09:26:28.744,2113.0,1552539.0,1.0,235146.751,3781340.66148,235169.2124,3781354.3919,235118.9246,3781367.9511,-3.910078993550542
09:26:28.982,2113.0,1552539.0,1.0,235146.751,3781340.66148,235169.9939,3781354.4376,235118.9246,3781367.9511,-4.178599000280201
09:26:29.258,2113.0,1552539.0,1.0,235146.751,3781340.66148,235169.9939,3781354.4376,235119.8125,3781367.876,-4.0081663956965485
09:26:29.458,2113.0,1552539.0,1.0,235146.751,3781340.66148,235171.3195,3781354.3215,235119.8125,3781367.876,-4.256409786016889
09:26:29.781,2161.0,1552541.0,1.0,235148.78921,3781340.71136,235171.3195,3781354.3215,235120.8393,3781367.922,-3.921271211644921
09:26:29.981,2161.0,1552541.0,1.0,235148.78921,3781340.71136,235172.5629,3781354.1954,235120.8393,3781367.922,-4.137233412200203
09:26:30.259,2161.0,1552541.0,1.0,235148.78921,3781340.71136,235172.5629,3781354.1954,235122.2256,3781368.0728,-3.5870961680105893
09:26:30.544,2233.0,1552544.0,1.0,235151.91026,3781340.84779,235172.5629,3781354.1954,235122.2256,3781368.0728,-3.5870961680105893
09:26:30.781,2233.0,1552544.0,1.0,235151.91026,3781340.84779,235173.8994,3781354.3402,235123.0508,3781368.0958,-3.862620535751205
09:26:31.058,2233.0,1552544.0,1.0,235151.91026,3781340.84779,235173.8994,3781354.3402,235123.0508,3781368.0958,-3.862620535751205
09:26:31.259,2233.0,1552544.0,1.0,235151.91026,3781340.84779,235175.2384,3781354.2385,235123.8749,3781367.9561,-4.0470619227206726
09:26:31.543,2281.0,1552546.0,1.0,235153.91092,3781340.93896,235176.1816,3781354.1306,235123.8749,3781367.9561,-4.194395563329465
09:26:31.781,2281.0,1552546.0,1.0,235153.91092,3781340.93896,235176.1816,3781354.1306,235125.1513,3781367.8209,-3.982431298633969
09:26:32.059,2281.0,1552546.0,1.0,235153.91092,3781340.93896,235176.1816,3781354.1306,235125.1513,3781367.8209,-3.982431298633969
09:26:32.258,2281.0,1552546.0,1.0,235153.91092,3781340.93896,235176.8375,3781354.1139,235126.27,3781367.7337,-3.9257298205241113
09:26:32.581,2329.0,1552548.0,1.0,235155.87298,3781341.02316,235178.0731,3781354.1807,235126.27,3781367.7337,-4.3385936847188304
09:26:32.781,2329.0,1552548.0,1.0,235155.87298,3781341.02316,235178.0731,3781354.1807,235127.3239,3781367.616,-4.171738836686586
09:26:33.058,2329.0,1552548.0,1.0,235155.87298,3781341.02316,235178.9639,3781354.1142,235127.3239,3781367.616,-4.347450848044446
09:26:33.344,2329.0,1552548.0,1.0,235155.87298,3781341.02316,235178.9639,3781354.1142,235128.4698,3781367.7558,-3.8817602888800593
09:26:33.581,2377.0,1552550.0,1.0,235157.76305,3781341.0011,235178.9639,3781354.1142,235129.3701,3781367.7204,-3.6582268691308855
